Internal ID,Season,Brand,SKU,Description,Style,Colour Code,Colour Desc,Size,Gender,Category,Sub-Category,DDP-EUR,Alpi Servizio Moda,CN HK,DHL KR,3RD Party Logistic,Alpi UK
1,CARRYOVER,13 09 SR,BINBLKSS22-BLACK-37,Bingo pool slide,BINBLKSS22,BLACK,BLACK,37,WOMEN,Shoes,Flip Flops & Slides,0,,,,,
2,CARRYOVER,13 09 SR,BINBLKSS22-BLACK-38,Bingo pool slide,BINBLKSS22,BLACK,BLACK,38,WOMEN,Shoes,Flip Flops & Slides,0,,,,,
3,CARRYOVER,13 09 SR,BINBLKSS22-BLACK-42,Bingo pool slide,BINBLKSS22,BLACK,BLACK,42,WOMEN,Shoes,Flip Flops & Slides,0,,,,,
4,CARRYOVER,13 09 SR,COPBLKAW23-BLACK-38,Copy,COPBLKAW23,BLACK,BLACK,38,WOMEN,Shoes,Boots,0,1,,,,
5,CARRYOVER,13 09 SR,COPBLKAW23-BLACK-40,Copy,COPBLKAW23,BLACK,BLACK,40,WOMEN,Shoes,Boots,0,1,,,,
6,CARRYOVER,13 09 SR,MEDBLKSS22-BLACK-37,Medusa mocassin,MEDBLKSS22,BLACK,BLACK,37,UNISEX,Shoes,Loafers,0,,,,,
7,CARRYOVER,13 09 SR,MEDBLKSS22-BLACK-38,Medusa mocassin,MEDBLKSS22,BLACK,BLACK,38,UNISEX,Shoes,Loafers,0,,,,,
8,CARRYOVER,13 09 SR,MEDBLKSS22-BLACK-39,Medusa mocassin,MEDBLKSS22,BLACK,BLACK,39,UNISEX,Shoes,Loafers,0,,,,,
9,CARRYOVER,13 09 SR,MEDBLKSS22-BLACK-40,Medusa mocassin,MEDBLKSS22,BLACK,BLACK,40,UNISEX,Shoes,Loafers,0,,,,,
10,CARRYOVER,13 09 SR,MEDMUBLKSS22-BLACK-36,Medusa Mule,MEDMUBLKSS22,BLACK,BLACK,36,UNISEX,Shoes,Slippers,0,,,,,
11,CARRYOVER,13 09 SR,MEDMUBLKSS22-BLACK-37,Medusa Mule,MEDMUBLKSS22,BLACK,BLACK,37,UNISEX,Shoes,Slippers,0,,,,,
12,CARRYOVER,13 09 SR,MEDMUBLKSS22-BLACK-38,Medusa Mule,MEDMUBLKSS22,BLACK,BLACK,38,UNISEX,Shoes,Slippers,0,,,,,
13,CARRYOVER,13 09 SR,MEDMUBLKSS22-BLACK-39,Medusa Mule,MEDMUBLKSS22,BLACK,BLACK,39,UNISEX,Shoes,Slippers,0,,,,,
14,CARRYOVER,13 09 SR,MEDMUBLKSS22-BLACK-40,Medusa Mule,MEDMUBLKSS22,BLACK,BLACK,40,UNISEX,Shoes,Slippers,0,,,,,
15,CARRYOVER,13 09 SR,MIKPETAW23-PETROL-37,Miky ballet flat,MIKPETAW23,PETROL,PETROL,37,WOMEN,Shoes,Ballerina Shoes,0,,,,,
16,CARRYOVER,13 09 SR,MIKWHISS23-WHITE-38,Miky ballet flat,MIKWHISS23,WHITE,WHITE,38,WOMEN,Shoes,Ballerina Shoes,0,,,,,
17,CARRYOVER,13 09 SR,MIKWHISS23-WHITE-39,Miky ballet flat,MIKWHISS23,WHITE,WHITE,39,WOMEN,Shoes,Ballerina Shoes,0,,,,,
18,CARRYOVER,13 09 SR,MIKWHISS23-WHITE-40,Miky ballet flat,MIKWHISS23,WHITE,WHITE,40,WOMEN,Shoes,Ballerina Shoes,0,,,,,
19,CARRYOVER,13 09 SR,MIKWHISS23-WHITE-41,Miky ballet flat,MIKWHISS23,WHITE,WHITE,41,WOMEN,Shoes,Ballerina Shoes,0,,,,,
20,CARRYOVER,13 09 SR,PATBLYAW23-BLAYEL-37,Patsy ballet flat,PATBLYAW23,BLAYEL,BLACK/YELLOW,37,WOMEN,Shoes,Ballerina Shoes,0,,,,,
21,CARRYOVER,13 09 SR,PATBLYAW23-BLAYEL-38,Patsy ballet flat,PATBLYAW23,BLAYEL,BLACK/YELLOW,38,WOMEN,Shoes,Ballerina Shoes,0,,,,,
22,CARRYOVER,13 09 SR,PATBLYAW23-BLAYEL-39,Patsy ballet flat,PATBLYAW23,BLAYEL,BLACK/YELLOW,39,WOMEN,Shoes,Ballerina Shoes,0,,,,,
